Source IP          Destination IP     Flow Size
100.110.32.231     108.149.99.23      1            
100.110.32.45      91.221.243.232     3            
100.110.33.10      109.209.228.250    38           
100.110.33.148     6.72.229.43        2            
100.110.33.238     6.75.118.235       1            
100.110.33.238     6.75.121.126       1            
100.110.33.24      89.164.56.143      1            
100.110.34.52      91.251.127.220     6            
100.110.34.7       50.224.90.226      7            
100.110.35.119     50.224.90.231      15           
100.110.35.129     91.251.78.144      1            
100.110.36.219     103.36.224.185     1            
100.110.36.67      109.1.49.177       1            
100.110.36.67      192.67.191.25      1            
100.110.37.100     220.80.64.22       2            
100.110.37.13      50.224.76.232      8            
100.110.37.238     82.197.172.7       3            
100.110.38.201     50.224.90.224      7            
100.110.38.201     50.224.90.225      14           
100.110.38.90      109.2.226.99       1            
100.110.39.24      50.224.90.224      6            
100.110.39.76      50.235.184.17      1            
100.110.39.91      6.96.52.210        1            
100.110.44.18      50.224.90.224      5            
100.110.44.250     89.164.74.229      1            
100.110.49.53      220.80.85.167      5            
100.110.49.53      6.72.216.53        2            
100.110.49.53      80.42.159.207      2            
100.110.51.245     6.96.0.84          3            
100.110.51.47      92.168.239.72      5            
100.110.52.231     109.2.216.55       3            
100.110.52.7       220.83.102.23      1            
100.110.52.7       80.41.226.62       1            
100.110.52.88      212.164.131.56     140          
100.110.53.21      50.224.76.234      2            
100.110.55.79      220.83.196.214     15           
100.110.55.79      98.84.198.67       35           
100.110.56.106     50.224.90.231      14           
100.110.56.106     50.224.90.234      16           
100.110.56.219     50.224.90.224      16           
100.110.56.237     102.80.29.102      1            
100.110.56.237     247.136.140.101    9            
100.110.56.237     99.202.69.201      9            
100.110.57.12      80.41.233.250      1            
100.110.57.123     50.224.90.224      26           
100.110.57.84      109.209.236.71     1            
100.110.57.84      129.1.14.238       1            
100.110.57.84      220.83.242.81      2            
100.110.57.84      92.161.58.88       1            
100.110.58.103     50.224.90.231      7            
100.110.58.103     50.224.90.234      19           
100.110.58.233     50.224.90.224      4            
100.110.59.37      50.224.90.224      2            
100.110.59.7       108.151.205.111    3            
100.110.59.7       192.64.200.150     1            
100.110.59.97      50.224.90.231      2            
100.110.60.8       89.164.98.177      4            
100.110.61.98      192.67.145.172     1            
100.110.61.98      248.239.176.3      1            
100.110.62.165     109.209.228.245    8            
100.110.62.242     92.168.239.72      6            
100.110.62.251     220.220.92.67      2            
100.110.62.46      50.224.90.224      57           
100.110.63.222     80.40.24.251       1            
100.110.63.222     99.215.200.204     1            
100.110.64.148     50.224.90.231      51           
100.110.64.154     109.209.95.68      2            
